,Max Acc thresh,Max Acc,Max individual Acc thresh,Max individual Acc,Null Acc,Max F1 thresh,Max F1,Max individual F1 thresh,Max individual F1,Null F1,AUROC,Individual AUROC,Null AUROC,runtime,data_preprocess.resolution,data_preprocess.normalize,label_path,method.max_lag,method.filter_mode,method.architecture
2024-10-25 14:36:21.9069,0.599473131666902,0.7989030714000798,0.0091748295507822,0.8001130168860524,0.7989030714000798,0.1189287984174821,0.3348554538963519,0.0064843864578361,0.3363776379332821,0.3348554538963519,0.4997397961984197,0.4990741400269721,0.5,0 days 01:18:12.295227,1H,True,random_5,5,None,transformer
2024-10-25 19:40:01.7726,0.4875312580617696,0.7989030714000798,0.0064902990768692,0.8002127376678635,0.7989030714000798,0.0783890019635813,0.3348554538963519,0.005333245418757,0.3366142241690706,0.3348554538963519,0.5011481583579043,0.5008151342906528,0.5,0 days 01:11:53.066080,6H,True,random_5,3,None,transformer
2024-10-26 06:23:16.0749,0.4736291211787337,0.7989030714000798,0.006573125155252,0.8002060896157427,0.7989030714000798,0.1402610342051022,0.3348554538963519,0.0061653425396117,0.3365604066042837,0.3348554538963519,0.5020313418690717,0.5017742325456974,0.5,0 days 01:05:06.660700,12H,True,random_5,3,None,transformer
2024-10-27 02:11:15.2665,0.5833284884112366,0.8017617338119931,0.6176845740863669,0.8396556309001463,0.7989030714000798,51.06396680580742,0.4062310193290221,1.099966557782453,0.5161305337260556,0.3348554538963519,0.5600130361965804,0.5723237633040186,0.5,0 days 10:14:04.168055,24H,False,random_5,3,None,transformer
2024-10-27 00:52:22.5308,0.5478866911755004,0.8111354873022204,0.2755205378763924,0.8460909453530117,0.7989030714000798,23.944648625619635,0.4236918972765799,0.4858409546760061,0.5365649075147739,0.3348554538963519,0.588531896446057,0.6084451314098303,0.5,0 days 16:30:15.205294,12H,False,random_5,5,None,transformer
2024-10-27 07:01:15.8319,0.4536294318832284,0.8091809599787262,0.2749928408204539,0.8449408323361255,0.7989030714000798,33.31700736299303,0.4217665834027199,0.531277157887871,0.5314279318879965,0.3348554538963519,0.5765184846587607,0.5957900359153101,0.5,0 days 18:12:33.868788,12H,False,random_5,3,None,transformer
2024-10-27 05:09:32.1714,0.2990957907222118,0.8143730886850153,0.1264561855487667,0.8489629038691664,0.7989030714000798,4.638698958566722,0.3968760974630835,0.1913420167625433,0.5319488719266998,0.3348554538963519,0.5782677604565125,0.6034735676613419,0.5,0 days 19:48:59.605355,6H,False,random_5,3,None,transformer
2024-10-26 08:21:55.0799,0.2853139912064042,0.8004986039090547,0.0200994083190857,0.8195984576519081,0.7989030714000798,-1.915324035903876e-07,0.3406653190015061,0.0158809148085187,0.4240504399001662,0.3348554538963519,0.5014044304419399,0.511069978267201,0.5,0 days 21:19:37.752005,15min,False,random_5,3,None,transformer
2024-10-26 07:29:06.6602,0.4743865653003812,0.7989030714000798,0.0059962019929542,0.8002592740327086,0.7989030714000798,0.1846239394244921,0.3348554538963519,0.0052118566455172,0.3366254289668729,0.3348554538963519,0.5019886786622462,0.5016794879100424,0.5,0 days 01:05:27.959102,12H,True,random_5,5,None,transformer
2024-10-25 11:46:38.5904,0.5745572485924643,0.7989030714000798,0.0095292636275352,0.7993484908921688,0.7989030714000798,0.1343137650727441,0.3348554538963519,0.0060131758735448,0.335309566262897,0.3348554538963519,0.4974614242024145,0.496529269632331,0.5,0 days 01:10:28.926516,15min,True,random_5,3,None,transformer
2024-10-25 14:14:22.7239,0.6005550457757913,0.7989030714000798,0.0106961967246856,0.8001462571466561,0.7989030714000798,0.1182287700336608,0.3348554538963519,0.0074019115733675,0.3364346212371741,0.3348554538963519,0.4998196618932592,0.4990986408690587,0.5,0 days 01:20:42.470978,1H,True,random_5,3,None,transformer
2024-10-25 19:59:53.9570,0.491049142968375,0.7989030714000798,0.0058036433266498,0.8001662013030184,0.7989030714000798,0.0914730905570214,0.3348554538963519,0.0046625661825654,0.3365648386390309,0.3348554538963519,0.5006701160291525,0.5003775856174141,0.5,0 days 01:08:14.294626,6H,True,random_5,5,None,transformer
2024-10-27 20:28:48.1722,0.1746646887744662,0.8007911182023667,0.0321395447824261,0.8302619332535568,0.7989030714000798,-3.4247624646897376e-12,0.3359203844912793,0.0406184880934343,0.4717055295923427,0.3348554538963519,0.536216885901611,0.554505549144934,0.5,2 days 06:49:37.755313,1H,False,random_5,3,None,transformer
2024-10-26 16:53:58.5907,0.2609566492891988,0.7989030714000798,0.0060147469360863,0.800811062358729,0.7989030714000798,0.2382022973005186,0.3348554538963519,0.0056005892289465,0.3372832503666169,0.3348554538963519,0.5024019728216426,0.5022945336391437,0.5,0 days 01:04:47.862919,24H,True,random_5,5,None,transformer
2024-11-05 01:21:10.4828,0.3060399121617273,0.833589349718382,0.0218031780563706,0.8576548899129544,0.8333333333333334,0.0,0.2876224398931433,0.0144872660162682,0.4198302977104819,0.2857142857142857,0.4601060403349685,0.4757296466973886,0.5,0 days 00:07:00.175365,15min,False,1_random_3,3,None,transformer
2024-11-05 09:38:25.7608,0.621588039206658,0.840757808499744,0.0987185996651861,0.8681515616999486,0.8333333333333334,-0.9178018842744798,0.2857142857142857,0.2505831704614938,0.457691463682247,0.2857142857142857,0.4911191809363356,0.5116743471582181,0.5,0 days 00:06:40.546883,12H,False,1_random_3,3,None,transformer
2024-11-05 04:17:58.0314,0.0632358689889967,0.8333333333333334,0.0023549530138111,0.8381976446492575,0.8333333333333334,0.1159449757901898,0.2857142857142857,0.0023976301128472,0.3065613342111037,0.2857142857142857,0.5107302719908636,0.5109062980030722,0.5,0 days 00:00:36.250594,1H,True,1_random_3,3,None,transformer
2024-11-05 11:06:23.2065,0.725690610375772,0.8379416282642089,0.176563085289232,0.8655913978494624,0.8333333333333334,-0.6184035152207404,0.2857142857142857,0.5170025271946492,0.4483285787433252,0.2857142857142857,0.4764658412792796,0.4943164362519201,0.5,0 days 00:04:45.945691,24H,False,1_random_3,3,None,transformer
2024-11-05 11:01:33.7337,0.0181626116860782,0.8341013824884793,0.0013841853978251,0.8366615463389656,0.8333333333333334,0.2533330081842346,0.2857142857142857,0.0020412991753052,0.2999780557384243,0.2857142857142857,0.5067878556209163,0.5069124423963134,0.5,0 days 00:00:21.283401,24H,True,1_random_3,5,None,transformer
2024-11-05 07:04:18.3192,0.0287046433572355,0.8333333333333334,0.0014491890623745,0.8371735791090628,0.8333333333333334,0.052141029493206,0.2857142857142857,0.0015545818117109,0.3021724818959841,0.2857142857142857,0.5082965825941892,0.5084485407066052,0.5,0 days 00:00:22.760671,6H,True,1_random_3,5,None,transformer
2024-11-05 04:58:30.4215,0.1796348608339672,0.8343573988735279,0.0210620048922546,0.8589349718381976,0.8333333333333334,-0.0518236575110301,0.2857142857142857,0.0207724808939455,0.4255650647355715,0.2857142857142857,0.4659281124867567,0.4807987711213518,0.5,0 days 00:24:55.348764,1H,False,1_random_3,5,None,transformer
2024-11-05 09:31:10.5908,0.0158542380690231,0.833589349718382,0.00211749152018,0.8366615463389656,0.8333333333333334,0.135539454367136,0.2857142857142857,0.0026110559406025,0.3005632360471069,0.2857142857142857,0.5078364609805074,0.5076804915514593,0.5,0 days 00:00:25.193828,12H,True,1_random_3,3,None,transformer
